# Monster spawn data generated from DumpStaticGridOccupancyLog()
#
# Mega grid layout in world space (+Z upward):
# 7 8 9
# 4 5 6
# 1 2 3
#
# ID rule: mega_id = mega_z * 3 + mega_x + 1
# Internal mega coords are 0-based.
#
CONFIG|grid_min=(-600,-200)|grid_max_exclusive=(600,1000)|grid_size=(1200,1200)|mega_grid_size=(400,400)|center_spawn_size=(200,200)|allow_shared_non_boss_cells=0|non_boss_ignore_occupancy_mega_ids=[5]|rng_seed=20260416
SPAWN|index=18|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-447,0,91)|yaw_deg=179.166|rot=(0.000000,0.999974,0.000000,0.007277)|rule=zero_cell_in_center_200x200
SPAWN|index=19|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-340,0,68)|yaw_deg=116.620|rot=(0.000000,0.850902,0.000000,0.525325)|rule=zero_cell_in_center_200x200
SPAWN|index=20|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-488,0,52)|yaw_deg=181.832|rot=(0.000000,0.999872,0.000000,-0.015986)|rule=zero_cell_in_center_200x200
SPAWN|index=21|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-437,0,-23)|yaw_deg=25.069|rot=(0.000000,0.217024,0.000000,0.976166)|rule=zero_cell_in_center_200x200
SPAWN|index=22|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-442,0,-67)|yaw_deg=268.663|rot=(0.000000,0.715309,0.000000,-0.698809)|rule=zero_cell_in_center_200x200
SPAWN|index=23|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-376,0,-52)|yaw_deg=290.522|rot=(0.000000,0.569836,0.000000,-0.821758)|rule=zero_cell_in_center_200x200
SPAWN|index=24|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-428,0,-68)|yaw_deg=264.629|rot=(0.000000,0.739458,0.000000,-0.673202)|rule=zero_cell_in_center_200x200
SPAWN|index=25|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-390,0,-70)|yaw_deg=11.990|rot=(0.000000,0.104440,0.000000,0.994531)|rule=zero_cell_in_center_200x200
SPAWN|index=26|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-388,0,-8)|yaw_deg=177.349|rot=(0.000000,0.999732,0.000000,0.023130)|rule=zero_cell_in_center_200x200
SPAWN|index=27|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-392,0,-3)|yaw_deg=99.051|rot=(0.000000,0.760694,0.000000,0.649110)|rule=zero_cell_in_center_200x200
SPAWN|index=28|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-349,0,-61)|yaw_deg=356.245|rot=(0.000000,0.032765,0.000000,-0.999463)|rule=zero_cell_in_center_200x200
SPAWN|index=29|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-439,0,-97)|yaw_deg=27.963|rot=(0.000000,0.241608,0.000000,0.970374)|rule=zero_cell_in_center_200x200
SPAWN|index=30|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-307,0,-69)|yaw_deg=2.741|rot=(0.000000,0.023921,0.000000,0.999714)|rule=zero_cell_in_center_200x200
SPAWN|index=31|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-373,0,-98)|yaw_deg=224.135|rot=(0.000000,0.926741,0.000000,-0.375700)|rule=zero_cell_in_center_200x200
SPAWN|index=32|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-437,0,60)|yaw_deg=65.440|rot=(0.000000,0.540536,0.000000,0.841321)|rule=zero_cell_in_center_200x200
SPAWN|index=33|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-423,0,-96)|yaw_deg=181.807|rot=(0.000000,0.999876,0.000000,-0.015772)|rule=zero_cell_in_center_200x200
SPAWN|index=34|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-353,0,-17)|yaw_deg=30.448|rot=(0.000000,0.262595,0.000000,0.964906)|rule=zero_cell_in_center_200x200
SPAWN|index=35|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-312,0,5)|yaw_deg=128.324|rot=(0.000000,0.900031,0.000000,0.435826)|rule=zero_cell_in_center_200x200
SPAWN|index=36|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-374,0,-63)|yaw_deg=167.669|rot=(0.000000,0.994216,0.000000,0.107403)|rule=zero_cell_in_center_200x200
SPAWN|index=37|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-373,0,-56)|yaw_deg=173.457|rot=(0.000000,0.998371,0.000000,0.057064)|rule=zero_cell_in_center_200x200
SPAWN|index=38|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-330,0,-89)|yaw_deg=356.189|rot=(0.000000,0.033254,0.000000,-0.999447)|rule=zero_cell_in_center_200x200
SPAWN|index=39|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-466,0,-23)|yaw_deg=113.209|rot=(0.000000,0.834890,0.000000,0.550417)|rule=zero_cell_in_center_200x200
SPAWN|index=40|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-374,0,36)|yaw_deg=164.061|rot=(0.000000,0.990342,0.000000,0.138643)|rule=zero_cell_in_center_200x200
SPAWN|index=41|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-322,0,-47)|yaw_deg=154.651|rot=(0.000000,0.975632,0.000000,0.219415)|rule=zero_cell_in_center_200x200
SPAWN|index=42|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-416,0,-6)|yaw_deg=314.707|rot=(0.000000,0.385041,0.000000,-0.922900)|rule=zero_cell_in_center_200x200
SPAWN|index=43|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-306,0,63)|yaw_deg=32.043|rot=(0.000000,0.275996,0.000000,0.961159)|rule=zero_cell_in_center_200x200
SPAWN|index=44|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-311,0,29)|yaw_deg=220.734|rot=(0.000000,0.937482,0.000000,-0.348034)|rule=zero_cell_in_center_200x200
SPAWN|index=45|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-452,0,77)|yaw_deg=6.300|rot=(0.000000,0.054954,0.000000,0.998489)|rule=zero_cell_in_center_200x200
SPAWN|index=46|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-357,0,-63)|yaw_deg=159.550|rot=(0.000000,0.984117,0.000000,0.177518)|rule=zero_cell_in_center_200x200
SPAWN|index=47|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-379,0,-62)|yaw_deg=276.791|rot=(0.000000,0.663982,0.000000,-0.747749)|rule=zero_cell_in_center_200x200
SPAWN|index=48|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-423,0,98)|yaw_deg=352.373|rot=(0.000000,0.066505,0.000000,-0.997786)|rule=zero_cell_in_center_200x200
SPAWN|index=49|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-466,0,-33)|yaw_deg=159.652|rot=(0.000000,0.984276,0.000000,0.176639)|rule=zero_cell_in_center_200x200
SPAWN|index=50|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-495,0,-72)|yaw_deg=39.372|rot=(0.000000,0.336867,0.000000,0.941552)|rule=zero_cell_in_center_200x200
SPAWN|index=51|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-404,0,58)|yaw_deg=108.022|rot=(0.000000,0.809132,0.000000,0.587626)|rule=zero_cell_in_center_200x200
SPAWN|index=52|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-443,0,-50)|yaw_deg=19.189|rot=(0.000000,0.166674,0.000000,0.986012)|rule=zero_cell_in_center_200x200
SPAWN|index=53|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-457,0,-32)|yaw_deg=200.740|rot=(0.000000,0.983666,0.000000,-0.180006)|rule=zero_cell_in_center_200x200
SPAWN|index=54|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-468,0,73)|yaw_deg=106.097|rot=(0.000000,0.799143,0.000000,0.601141)|rule=zero_cell_in_center_200x200
SPAWN|index=55|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-498,0,-21)|yaw_deg=231.378|rot=(0.000000,0.901160,0.000000,-0.433486)|rule=zero_cell_in_center_200x200
SPAWN|index=56|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-425,0,24)|yaw_deg=245.970|rot=(0.000000,0.838815,0.000000,-0.544417)|rule=zero_cell_in_center_200x200
SPAWN|index=57|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-491,0,-64)|yaw_deg=200.277|rot=(0.000000,0.984386,0.000000,-0.176025)|rule=zero_cell_in_center_200x200
SPAWN|index=58|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-399,0,-51)|yaw_deg=97.564|rot=(0.000000,0.752210,0.000000,0.658923)|rule=zero_cell_in_center_200x200
SPAWN|index=59|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-470,0,94)|yaw_deg=125.827|rot=(0.000000,0.890319,0.000000,0.455337)|rule=zero_cell_in_center_200x200
SPAWN|index=60|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-306,0,77)|yaw_deg=334.874|rot=(0.000000,0.217517,0.000000,-0.976057)|rule=zero_cell_in_center_200x200
SPAWN|index=61|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-331,0,-6)|yaw_deg=310.426|rot=(0.000000,0.419250,0.000000,-0.907871)|rule=zero_cell_in_center_200x200
SPAWN|index=62|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-425,0,-44)|yaw_deg=33.900|rot=(0.000000,0.291534,0.000000,0.956561)|rule=zero_cell_in_center_200x200
SPAWN|index=63|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-385,0,96)|yaw_deg=152.322|rot=(0.000000,0.970971,0.000000,0.239195)|rule=zero_cell_in_center_200x200
SPAWN|index=64|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-477,0,-99)|yaw_deg=244.609|rot=(0.000000,0.845221,0.000000,-0.534416)|rule=zero_cell_in_center_200x200
SPAWN|index=65|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-423,0,-51)|yaw_deg=29.951|rot=(0.000000,0.258405,0.000000,0.966037)|rule=zero_cell_in_center_200x200
SPAWN|index=66|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-494,0,98)|yaw_deg=326.966|rot=(0.000000,0.284301,0.000000,-0.958735)|rule=zero_cell_in_center_200x200
SPAWN|index=67|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-439,0,43)|yaw_deg=84.157|rot=(0.000000,0.670149,0.000000,0.742226)|rule=zero_cell_in_center_200x200
SPAWN|index=68|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-306,0,93)|yaw_deg=248.955|rot=(0.000000,0.824349,0.000000,-0.566082)|rule=zero_cell_in_center_200x200
SPAWN|index=69|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-492,0,-95)|yaw_deg=230.242|rot=(0.000000,0.905415,0.000000,-0.424527)|rule=zero_cell_in_center_200x200
SPAWN|index=70|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-351,0,-64)|yaw_deg=17.798|rot=(0.000000,0.154692,0.000000,0.987963)|rule=zero_cell_in_center_200x200
SPAWN|index=71|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-319,0,67)|yaw_deg=190.211|rot=(0.000000,0.996032,0.000000,-0.088994)|rule=zero_cell_in_center_200x200
SPAWN|index=72|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-461,0,32)|yaw_deg=189.132|rot=(0.000000,0.996826,0.000000,-0.079611)|rule=zero_cell_in_center_200x200
SPAWN|index=73|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-414,0,51)|yaw_deg=80.603|rot=(0.000000,0.646811,0.000000,0.762651)|rule=zero_cell_in_center_200x200
SPAWN|index=74|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-420,0,-54)|yaw_deg=129.888|rot=(0.000000,0.905894,0.000000,0.423504)|rule=zero_cell_in_center_200x200
SPAWN|index=75|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-433,0,-41)|yaw_deg=219.049|rot=(0.000000,0.942499,0.000000,-0.334210)|rule=zero_cell_in_center_200x200
SPAWN|index=76|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-334,0,-78)|yaw_deg=286.340|rot=(0.000000,0.599446,0.000000,-0.800415)|rule=zero_cell_in_center_200x200
SPAWN|index=77|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-359,0,40)|yaw_deg=295.571|rot=(0.000000,0.533092,0.000000,-0.846058)|rule=zero_cell_in_center_200x200
SPAWN|index=78|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-445,0,33)|yaw_deg=55.621|rot=(0.000000,0.466546,0.000000,0.884497)|rule=zero_cell_in_center_200x200
SPAWN|index=79|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-459,0,-13)|yaw_deg=261.600|rot=(0.000000,0.756995,0.000000,-0.653420)|rule=zero_cell_in_center_200x200
SPAWN|index=80|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-473,0,56)|yaw_deg=7.236|rot=(0.000000,0.063104,0.000000,0.998007)|rule=zero_cell_in_center_200x200
SPAWN|index=81|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-419,0,-63)|yaw_deg=334.882|rot=(0.000000,0.217447,0.000000,-0.976072)|rule=zero_cell_in_center_200x200
SPAWN|index=82|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-371,0,-44)|yaw_deg=10.017|rot=(0.000000,0.087299,0.000000,0.996182)|rule=zero_cell_in_center_200x200
SPAWN|index=83|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-330,0,49)|yaw_deg=23.446|rot=(0.000000,0.203183,0.000000,0.979141)|rule=zero_cell_in_center_200x200
SPAWN|index=84|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-479,0,-43)|yaw_deg=7.751|rot=(0.000000,0.067590,0.000000,0.997713)|rule=zero_cell_in_center_200x200
SPAWN|index=85|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-399,0,98)|yaw_deg=16.357|rot=(0.000000,0.142256,0.000000,0.989830)|rule=zero_cell_in_center_200x200
SPAWN|index=86|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-447,0,35)|yaw_deg=37.068|rot=(0.000000,0.317868,0.000000,0.948135)|rule=zero_cell_in_center_200x200
SPAWN|index=87|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-448,0,-92)|yaw_deg=337.777|rot=(0.000000,0.192721,0.000000,-0.981254)|rule=zero_cell_in_center_200x200
SPAWN|index=88|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-352,0,0)|yaw_deg=3.451|rot=(0.000000,0.030113,0.000000,0.999547)|rule=zero_cell_in_center_200x200
SPAWN|index=89|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-349,0,-75)|yaw_deg=352.990|rot=(0.000000,0.061137,0.000000,-0.998129)|rule=zero_cell_in_center_200x200
SPAWN|index=90|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-377,0,24)|yaw_deg=348.089|rot=(0.000000,0.103756,0.000000,-0.994603)|rule=zero_cell_in_center_200x200
SPAWN|index=91|type="Ghoul"|mega_id=1|mega=(0,0)|pos=(-307,0,65)|yaw_deg=238.972|rot=(0.000000,0.870476,0.000000,-0.492211)|rule=zero_cell_in_center_200x200
SPAWN|index=92|type="BowMan"|mega_id=1|mega=(0,0)|pos=(-440,0,76)|yaw_deg=111.303|rot=(0.000000,0.825620,0.000000,0.564227)|rule=zero_cell_in_center_200x200_with_10m_patrol_clearance
SPAWN|index=93|type="BowMan"|mega_id=1|mega=(0,0)|pos=(-382,0,17)|yaw_deg=135.464|rot=(0.000000,0.925420,0.000000,0.378942)|rule=zero_cell_in_center_200x200_with_10m_patrol_clearance
SPAWN|index=94|type="BowMan"|mega_id=1|mega=(0,0)|pos=(-303,0,-91)|yaw_deg=12.749|rot=(0.000000,0.111023,0.000000,0.993818)|rule=zero_cell_in_center_200x200_with_10m_patrol_clearance
SPAWN|index=95|type="BowMan"|mega_id=1|mega=(0,0)|pos=(-403,0,46)|yaw_deg=274.854|rot=(0.000000,0.676532,0.000000,-0.736413)|rule=zero_cell_in_center_200x200_with_10m_patrol_clearance
SPAWN|index=96|type="BowMan"|mega_id=1|mega=(0,0)|pos=(-428,0,26)|yaw_deg=248.676|rot=(0.000000,0.825722,0.000000,-0.564077)|rule=zero_cell_in_center_200x200_with_10m_patrol_clearance
SPAWN|index=97|type="BowMan"|mega_id=1|mega=(0,0)|pos=(-395,0,-30)|yaw_deg=208.588|rot=(0.000000,0.969042,0.000000,-0.246898)|rule=zero_cell_in_center_200x200_with_10m_patrol_clearance
SPAWN|index=98|type="BowMan"|mega_id=1|mega=(0,0)|pos=(-431,0,10)|yaw_deg=161.972|rot=(0.000000,0.987650,0.000000,0.156677)|rule=zero_cell_in_center_200x200_with_10m_patrol_clearance
SPAWN|index=99|type="BowMan"|mega_id=1|mega=(0,0)|pos=(-468,0,-92)|yaw_deg=29.125|rot=(0.000000,0.251440,0.000000,0.967873)|rule=zero_cell_in_center_200x200_with_10m_patrol_clearance
SPAWN|index=100|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-75,0,66)|yaw_deg=255.791|rot=(0.000000,0.789134,0.000000,-0.614221)|rule=zero_cell_in_center_200x200
SPAWN|index=101|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-74,0,-31)|yaw_deg=45.467|rot=(0.000000,0.386442,0.000000,0.922314)|rule=zero_cell_in_center_200x200
SPAWN|index=102|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(48,0,4)|yaw_deg=27.395|rot=(0.000000,0.236796,0.000000,0.971559)|rule=zero_cell_in_center_200x200
SPAWN|index=103|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-90,0,23)|yaw_deg=218.316|rot=(0.000000,0.944619,0.000000,-0.328170)|rule=zero_cell_in_center_200x200
SPAWN|index=104|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(3,0,-32)|yaw_deg=260.140|rot=(0.000000,0.765261,0.000000,-0.643720)|rule=zero_cell_in_center_200x200
SPAWN|index=105|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(47,0,6)|yaw_deg=342.323|rot=(0.000000,0.153647,0.000000,-0.988126)|rule=zero_cell_in_center_200x200
SPAWN|index=106|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-99,0,32)|yaw_deg=342.731|rot=(0.000000,0.150132,0.000000,-0.988666)|rule=zero_cell_in_center_200x200
SPAWN|index=107|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-66,0,44)|yaw_deg=98.877|rot=(0.000000,0.759710,0.000000,0.650262)|rule=zero_cell_in_center_200x200
SPAWN|index=108|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-67,0,-55)|yaw_deg=327.401|rot=(0.000000,0.280662,0.000000,-0.959807)|rule=zero_cell_in_center_200x200
SPAWN|index=109|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-11,0,24)|yaw_deg=148.254|rot=(0.000000,0.961870,0.000000,0.273507)|rule=zero_cell_in_center_200x200
SPAWN|index=110|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-89,0,54)|yaw_deg=238.329|rot=(0.000000,0.873224,0.000000,-0.487318)|rule=zero_cell_in_center_200x200
SPAWN|index=111|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(59,0,41)|yaw_deg=252.436|rot=(0.000000,0.806772,0.000000,-0.590863)|rule=zero_cell_in_center_200x200
SPAWN|index=112|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(30,0,-70)|yaw_deg=83.730|rot=(0.000000,0.667379,0.000000,0.744719)|rule=zero_cell_in_center_200x200
SPAWN|index=113|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(79,0,47)|yaw_deg=197.264|rot=(0.000000,0.988673,0.000000,-0.150085)|rule=zero_cell_in_center_200x200
SPAWN|index=114|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-73,0,24)|yaw_deg=230.530|rot=(0.000000,0.904343,0.000000,-0.426807)|rule=zero_cell_in_center_200x200
SPAWN|index=115|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(39,0,-25)|yaw_deg=126.024|rot=(0.000000,0.891102,0.000000,0.453803)|rule=zero_cell_in_center_200x200
SPAWN|index=116|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-34,0,-19)|yaw_deg=278.359|rot=(0.000000,0.653689,0.000000,-0.756763)|rule=zero_cell_in_center_200x200
SPAWN|index=117|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(-24,0,-65)|yaw_deg=333.246|rot=(0.000000,0.231360,0.000000,-0.972868)|rule=zero_cell_in_center_200x200
SPAWN|index=118|type="Ghoul"|mega_id=2|mega=(1,0)|pos=(81,0,95)|yaw_deg=143.201|rot=(0.000000,0.948878,0.000000,0.315644)|rule=zero_cell_in_center_200x200
